gid,role,role_score,cluster_id,priority_score,evidence,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,direct_seed_payers,truncated_by_depth
100000000332284100,peripheral,0.200000,10,0.368297,"Observed 10 payers, 3 recipients, 107,426 KZT in; insufficient role evidence.",2,False,10,3,107426.000000,289500.000000,12,3,0,False
100000000343175100,distributor,0.860000,11,0.343351,"Observed 31 recipients, 4,000,039 KZT sent; distribution hypothesis. Seed inflows incomplete.",0,True,8,31,178712.000000,4000039.000000,14,33,1,False
100000000369781100,peripheral,0.100000,10,0.119688,"Depth 4 boundary: 5,000 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,5000.000000,0.000000,1,0,0,True
100000000375150100,peripheral,0.100000,12,0.223055,"Depth 4 boundary: 300,000 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,300000.000000,0.000000,1,0,0,True
100000000404740100,peripheral,0.100000,13,0.136734,"Depth 4 boundary: 25,000 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,25000.000000,0.000000,1,0,0,True
100000000408846100,peripheral,0.200000,14,0.256407,"Observed 1 payers, 0 recipients, 40,500 KZT in; insufficient role evidence.",3,False,1,0,40500.000000,0.000000,1,0,0,False
100000000413678100,peripheral,0.200000,8,0.338935,"Observed 2 payers, 3 recipients, 306,500 KZT in; insufficient role evidence.",3,False,2,3,306500.000000,528198.000000,2,18,0,False
100000000424935100,peripheral,0.100000,15,0.131323,"Depth 4 boundary: 15,000 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,15000.000000,0.000000,1,0,0,True
100000000425407100,peripheral,0.200000,2,0.343951,"Observed 1 payers, 0 recipients, 20,000 KZT in; insufficient role evidence.",2,False,1,0,20000.000000,0.000000,1,0,0,False
100000000437046100,distributor,0.950000,0,0.663418,"Observed 42 recipients vs 9 payers; 7,606,224 KZT sent; distribution hypothesis.",2,False,9,42,1107200.000000,7606224.000000,20,73,0,False
100000000440392100,terminal,0.515662,16,0.503143,"Observed 105,705 KZT from 1 payers, 0 qualifying outflows; possible terminal, external flows unknown.",1,False,1,0,105705.000000,0.000000,4,0,1,False
100000000456947100,peripheral,0.200000,17,0.036667,"Observed 0 payers, 0 recipients, 0 KZT in; insufficient role evidence. Seed inflows incomplete.",0,True,0,0,0.000000,0.000000,0,0,0,False
100000000470237100,peripheral,0.100000,15,0.139513,"Depth 4 boundary: 32,500 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,32500.000000,0.000000,1,0,0,True
100000000481716100,peripheral,0.200000,18,0.227776,"Observed 1 payers, 0 recipients, 8,000 KZT in; insufficient role evidence.",3,False,1,0,8000.000000,0.000000,1,0,0,False
100000000489417100,transit,0.661624,12,0.501365,"Observed 73,504 KZT in, 80,000 KZT out, ratio 1.09; transit hypothesis, timing untested.",2,False,3,1,73504.000000,80000.000000,3,1,0,False
100000000490383100,peripheral,0.200000,16,0.464772,"Observed 3 payers, 8 recipients, 62,600 KZT in; insufficient role evidence.",2,False,3,8,62600.000000,461375.000000,3,9,0,False
100000000500040100,peripheral,0.100000,0,0.154371,"Depth 4 boundary: 20,000 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,20000.000000,0.000000,1,0,0,True
100000000507799100,peripheral,0.200000,19,0.303191,"Observed 1 payers, 1 recipients, 5,132 KZT in; insufficient role evidence.",1,False,1,1,5132.000000,8000.000000,1,1,1,False
100000000533217100,peripheral,0.200000,0,0.294683,"Observed 1 payers, 0 recipients, 53,587 KZT in; insufficient role evidence.",2,False,1,0,53587.000000,0.000000,1,0,0,False
100000000534581100,peripheral,0.200000,8,0.288664,"Observed 2 payers, 1 recipients, 55,960 KZT in; insufficient role evidence.",3,False,2,1,55960.000000,40000.000000,2,1,0,False
100000000542087100,peripheral,0.100000,20,0.125316,"Depth 4 boundary: 8,507 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,8506.910000,0.000000,1,0,0,True
100000000552584100,peripheral,0.200000,21,0.362926,"Observed 1 payers, 1 recipients, 2,500,000 KZT in; insufficient role evidence.",3,False,1,1,2500000.000000,57500.000000,3,1,0,False
100000000555721100,terminal,0.516419,0,0.454834,"Observed 113,000 KZT from 2 payers, 0 qualifying outflows; possible terminal, external flows unknown.",1,False,2,0,113000.000000,0.000000,3,0,1,False
100000000557536100,peripheral,0.100000,20,0.155923,"Depth 4 boundary: 153,000 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,153000.000000,0.000000,7,0,0,True
100000000560751100,peripheral,0.200000,12,0.347890,"Observed 1 payers, 0 recipients, 25,000 KZT in; insufficient role evidence.",3,False,1,0,25000.000000,0.000000,1,0,0,False
100000000561160100,peripheral,0.100000,2,0.220692,"Depth 4 boundary: 240,000 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,240000.000000,0.000000,1,0,0,True
100000000569479100,terminal,0.531162,0,0.392464,"Observed 320,000 KZT from 1 payers, 0 qualifying outflows; possible terminal, external flows unknown.",3,False,1,0,320000.000000,0.000000,1,0,0,False
100000000572276100,peripheral,0.200000,22,0.292600,"Observed 1 payers, 1 recipients, 13,075 KZT in; insufficient role evidence.",3,False,1,1,13075.000000,34547.000000,1,1,0,False
100000000580561100,peripheral,0.200000,23,0.191402,"Observed 2 payers, 3 recipients, 27,980 KZT in; insufficient role evidence. Seed inflows incomplete.",0,True,2,3,27980.000000,1488077.000000,3,13,0,False
100000000581662100,peripheral,0.100000,24,0.134968,"Depth 4 boundary: 21,160 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,21160.000000,0.000000,1,0,0,True
100000000581682100,peripheral,0.100000,15,0.119688,"Depth 4 boundary: 5,000 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,5000.000000,0.000000,1,0,0,True
100000000583220100,peripheral,0.200000,25,0.308314,"Observed 1 payers, 1 recipients, 5,000 KZT in; insufficient role evidence.",3,False,1,1,5000.000000,761255.000000,1,4,0,False
100000000594783100,peripheral,0.200000,21,0.381475,"Observed 1 payers, 2 recipients, 2,635,000 KZT in; insufficient role evidence.",3,False,1,2,2635000.000000,152500.000000,10,2,0,False
100000000596954100,peripheral,0.200000,2,0.398562,"Observed 1 payers, 2 recipients, 120,000 KZT in; insufficient role evidence.",2,False,1,2,120000.000000,48100.000000,1,2,0,False
100000000600707100,peripheral,0.100000,26,0.150184,"Depth 4 boundary: 89,000 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,89000.000000,0.000000,2,0,0,True
100000000607731100,peripheral,0.200000,27,0.369837,"Observed 1 payers, 1 recipients, 20,000 KZT in; insufficient role evidence.",1,False,1,1,20000.000000,66666.000000,1,1,1,False
100000000607941100,peripheral,0.200000,16,0.392611,"Observed 2 payers, 1 recipients, 50,000 KZT in; insufficient role evidence.",2,False,2,1,50000.000000,70000.000000,3,4,0,False
100000000608031100,peripheral,0.100000,28,0.138665,"Depth 4 boundary: 30,000 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,30000.000000,0.000000,1,0,0,True
100000000611474100,peripheral,0.200000,29,0.252248,"Observed 1 payers, 0 recipients, 32,000 KZT in; insufficient role evidence.",3,False,1,0,32000.000000,0.000000,1,0,0,False
100000000625169100,peripheral,0.200000,22,0.265048,"Observed 1 payers, 0 recipients, 10,000 KZT in; insufficient role evidence.",2,False,1,0,10000.000000,0.000000,1,0,0,False
100000000627521100,peripheral,0.100000,30,0.122466,"Depth 4 boundary: 6,500 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,6500.000000,0.000000,1,0,0,True
100000000629812100,peripheral,0.200000,31,0.262662,"Observed 2 payers, 0 recipients, 22,000 KZT in; insufficient role evidence.",2,False,2,0,22000.000000,0.000000,2,0,0,False
100000000634341100,peripheral,0.100000,0,0.156302,"Depth 4 boundary: 24,000 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,24000.000000,0.000000,2,0,0,True
100000000640800100,peripheral,0.200000,8,0.342423,"Observed 1 payers, 4 recipients, 80,000 KZT in; insufficient role evidence.",3,False,1,4,80000.000000,518135.000000,1,6,0,False
100000000646541100,peripheral,0.200000,0,0.310545,"Observed 3 payers, 0 recipients, 25,300 KZT in; insufficient role evidence.",2,False,3,0,25300.000000,0.000000,4,0,0,False
100000000655469100,peripheral,0.100000,32,0.134371,"Depth 4 boundary: 20,000 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,20000.000000,0.000000,2,0,0,True
100000000656682100,transit,0.623239,0,0.414649,"Observed 71,000 KZT in, 80,000 KZT out, ratio 1.13; transit hypothesis, timing untested.",3,False,1,2,71000.000000,80000.000000,1,3,0,False
100000000661131100,peripheral,0.200000,22,0.272898,"Observed 1 payers, 0 recipients, 15,600 KZT in; insufficient role evidence.",3,False,1,0,15600.000000,0.000000,1,0,0,False
100000000661912100,transit,0.654172,8,0.513231,"Observed 393,036 KZT in, 430,700 KZT out, ratio 1.10; transit hypothesis, timing untested.",1,False,5,2,393036.000000,430700.000000,9,8,1,False
100000000667713100,peripheral,0.200000,16,0.503768,"Observed 2 payers, 6 recipients, 119,495 KZT in; insufficient role evidence.",1,False,2,6,119495.000000,79236.000000,10,7,1,False
100000000673868100,peripheral,0.200000,33,0.374709,"Observed 1 payers, 5 recipients, 2,030,650 KZT in; insufficient role evidence.",3,False,1,5,2030650.000000,383000.000000,5,19,0,False
100000000673915100,peripheral,0.100000,20,0.134476,"Depth 4 boundary: 20,200 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,20200.000000,0.000000,1,0,0,True
100000000703894100,peripheral,0.200000,27,0.380101,"Observed 1 payers, 1 recipients, 120,000 KZT in; insufficient role evidence.",1,False,1,1,120000.000000,35000.000000,1,1,1,False
100000000703902100,peripheral,0.200000,22,0.348239,"Observed 1 payers, 0 recipients, 25,499 KZT in; insufficient role evidence.",1,False,1,0,25499.000000,0.000000,1,0,1,False
100000000704700100,peripheral,0.100000,34,0.147029,"Depth 4 boundary: 10,000 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,10000.000000,0.000000,1,0,0,True
100000000706545100,consolidator,0.747918,16,0.620783,"Observed 3 payers, 1,070,300 KZT in, 7% onward; consolidation hypothesis.",1,False,3,1,1070300.000000,75800.000000,8,3,1,False
100000000718427100,peripheral,0.200000,22,0.256031,"Observed 1 payers, 0 recipients, 6,000 KZT in; insufficient role evidence.",2,False,1,0,6000.000000,0.000000,1,0,0,False
100000000723383100,peripheral,0.200000,32,0.285846,"Observed 1 payers, 2 recipients, 6,800 KZT in; insufficient role evidence.",2,False,1,2,6800.000000,75000.000000,1,2,0,False
100000000724540100,peripheral,0.200000,35,0.279522,"Observed 1 payers, 1 recipients, 50,000 KZT in; insufficient role evidence.",2,False,1,1,50000.000000,100000.000000,1,1,0,False
100000000733373100,peripheral,0.200000,16,0.332926,"Observed 1 payers, 0 recipients, 10,710 KZT in; insufficient role evidence.",2,False,1,0,10710.000000,0.000000,1,0,0,False
100000000733451100,peripheral,0.200000,12,0.395462,"Observed 1 payers, 1 recipients, 70,000 KZT in; insufficient role evidence.",3,False,1,1,70000.000000,300000.000000,2,1,0,False
100000000733940100,peripheral,0.100000,36,0.172790,"Depth 4 boundary: 752,000 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,752000.000000,0.000000,2,0,0,True
100000000737152100,peripheral,0.100000,0,0.160298,"Depth 4 boundary: 35,000 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,35000.000000,0.000000,1,0,0,True
100000000749118100,peripheral,0.200000,0,0.282471,"Observed 1 payers, 1 recipients, 10,330 KZT in; insufficient role evidence.",3,False,1,1,10330.000000,16500.000000,1,1,0,False
100000000764836100,peripheral,0.200000,8,0.308888,"Observed 1 payers, 2 recipients, 251,716 KZT in; insufficient role evidence.",3,False,1,2,251716.000000,50000.000000,1,2,0,False
100000000765628100,peripheral,0.200000,16,0.319480,"Observed 1 payers, 0 recipients, 5,000 KZT in; insufficient role evidence.",2,False,1,0,5000.000000,0.000000,1,0,0,False
100000000769919100,terminal,0.527203,37,0.387314,"Observed 250,000 KZT from 1 payers, 0 qualifying outflows; possible terminal, external flows unknown.",2,False,1,0,250000.000000,0.000000,1,0,0,False
100000000782285100,peripheral,0.200000,0,0.256470,"Observed 1 payers, 0 recipients, 6,151 KZT in; insufficient role evidence.",3,False,1,0,6151.000000,0.000000,1,0,0,False
100000000783406100,peripheral,0.200000,38,0.222891,"Observed 1 payers, 0 recipients, 6,066 KZT in; insufficient role evidence.",3,False,1,0,6066.000000,0.000000,1,0,0,False
100000000785800100,peripheral,0.200000,39,0.288615,"Observed 1 payers, 1 recipients, 19,000 KZT in; insufficient role evidence.",2,False,1,1,19000.000000,19000.000000,1,1,0,False
100000000790311100,peripheral,0.200000,3,0.358770,"Observed 1 payers, 0 recipients, 46,300 KZT in; insufficient role evidence.",2,False,1,0,46300.000000,0.000000,1,0,0,False
100000000791285100,peripheral,0.200000,14,0.352205,"Observed 1 payers, 3 recipients, 1,120,000 KZT in; insufficient role evidence.",3,False,1,3,1120000.000000,650000.000000,2,3,0,False
100000000795033100,peripheral,0.200000,0,0.275619,"Observed 1 payers, 0 recipients, 18,200 KZT in; insufficient role evidence.",2,False,1,0,18200.000000,0.000000,1,0,0,False
100000000795129100,terminal,0.531774,3,0.459903,"Observed 332,000 KZT from 1 payers, 0 qualifying outflows; possible terminal, external flows unknown.",2,False,1,0,332000.000000,0.000000,1,0,0,False
100000000795374100,peripheral,0.200000,8,0.260127,"Observed 1 payers, 0 recipients, 50,000 KZT in; insufficient role evidence.",3,False,1,0,50000.000000,0.000000,1,0,0,False
100000000802149100,terminal,0.515495,0,0.369510,"Observed 104,128 KZT from 1 payers, 0 qualifying outflows; possible terminal, external flows unknown.",3,False,1,0,104128.000000,0.000000,1,0,0,False
100000000803368100,peripheral,0.100000,40,0.154945,"Depth 4 boundary: 139,503 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,139503.000000,0.000000,1,0,0,True
100000000806727100,peripheral,0.200000,2,0.360127,"Observed 1 payers, 1 recipients, 45,000 KZT in; insufficient role evidence.",2,False,1,1,45000.000000,5000.000000,1,1,0,False
100000000810551100,peripheral,0.200000,2,0.440242,"Observed 1 payers, 1 recipients, 100,000 KZT in; insufficient role evidence.",1,False,1,1,100000.000000,7100.000000,1,1,1,False
100000000817146100,peripheral,0.200000,16,0.432739,"Observed 1 payers, 0 recipients, 70,020 KZT in; insufficient role evidence.",1,False,1,0,70020.000000,0.000000,1,0,1,False
100000000821507100,terminal,0.534949,33,0.363828,"Observed 400,000 KZT from 1 payers, 0 qualifying outflows; possible terminal, external flows unknown.",2,False,1,0,400000.000000,0.000000,1,0,0,False
100000000831684100,peripheral,0.200000,7,0.298092,"Observed 1 payers, 1 recipients, 15,000 KZT in; insufficient role evidence.",2,False,1,1,15000.000000,50000.000000,2,3,0,False
100000000838385100,peripheral,0.200000,15,0.321443,"Observed 1 payers, 2 recipients, 436,900 KZT in; insufficient role evidence.",3,False,1,2,436900.000000,177500.000000,8,6,0,False
100000000850297100,peripheral,0.200000,11,0.287184,"Observed 1 payers, 1 recipients, 17,520 KZT in; insufficient role evidence.",2,False,1,1,17520.000000,17520.000000,1,1,0,False
100000000860514100,peripheral,0.200000,13,0.263925,"Observed 1 payers, 1 recipients, 12,000 KZT in; insufficient role evidence.",3,False,1,1,12000.000000,50000.000000,1,1,0,False
100000000861294100,terminal,0.519897,41,0.443501,"Observed 150,000 KZT from 1 payers, 0 qualifying outflows; possible terminal, external flows unknown.",2,False,1,0,150000.000000,0.000000,1,0,0,False
100000000870121100,peripheral,0.200000,12,0.334933,"Observed 1 payers, 0 recipients, 12,000 KZT in; insufficient role evidence.",3,False,1,0,12000.000000,0.000000,1,0,0,False
100000000878006100,peripheral,0.200000,10,0.259036,"Observed 1 payers, 0 recipients, 47,003 KZT in; insufficient role evidence.",3,False,1,0,47003.000000,0.000000,1,0,0,False
100000000896111100,terminal,0.529391,21,0.390195,"Observed 287,100 KZT from 1 payers, 0 qualifying outflows; possible terminal, external flows unknown.",3,False,1,0,287100.000000,0.000000,1,0,0,False
100000000907277100,peripheral,0.200000,22,0.341628,"Observed 1 payers, 0 recipients, 17,534 KZT in; insufficient role evidence.",1,False,1,0,17534.000000,0.000000,1,0,1,False
100000000910216100,peripheral,0.200000,2,0.376020,"Observed 1 payers, 1 recipients, 71,000 KZT in; insufficient role evidence.",2,False,1,1,71000.000000,52010.000000,3,1,0,False
100000000912487100,peripheral,0.200000,2,0.331715,"Observed 1 payers, 0 recipients, 10,000 KZT in; insufficient role evidence.",2,False,1,0,10000.000000,0.000000,1,0,0,False
100000000913911100,peripheral,0.200000,2,0.431188,"Observed 2 payers, 1 recipients, 467,000 KZT in; insufficient role evidence.",2,False,2,1,467000.000000,600000.000000,2,1,0,False
100000000917179100,peripheral,0.200000,40,0.271359,"Observed 1 payers, 0 recipients, 94,465 KZT in; insufficient role evidence.",2,False,1,0,94465.000000,0.000000,2,0,0,False
100000000922570100,peripheral,0.200000,7,0.371845,"Observed 1 payers, 1 recipients, 47,101 KZT in; insufficient role evidence.",1,False,1,1,47101.000000,50000.000000,1,1,1,False
100000000926078100,peripheral,0.100000,8,0.161124,"Depth 4 boundary: 250,000 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,250000.000000,0.000000,1,0,0,True
100000000926766100,peripheral,0.200000,13,0.247713,"Observed 1 payers, 1 recipients, 18,750 KZT in; insufficient role evidence.",3,False,1,1,18750.000000,6000.000000,1,1,0,False
100000000933075100,peripheral,0.200000,7,0.321820,"Observed 1 payers, 2 recipients, 40,000 KZT in; insufficient role evidence.",3,False,1,2,40000.000000,55000.000000,1,2,0,False
100000000941942100,terminal,0.518086,2,0.507280,"Observed 130,000 KZT from 1 payers, 0 qualifying outflows; possible terminal, external flows unknown.",1,False,1,0,130000.000000,0.000000,1,0,1,False
100000000942301100,peripheral,0.200000,0,0.295952,"Observed 1 payers, 0 recipients, 57,580 KZT in; insufficient role evidence.",3,False,1,0,57580.000000,0.000000,2,0,0,False
100000000943371100,peripheral,0.200000,12,0.339451,"Observed 1 payers, 0 recipients, 15,500 KZT in; insufficient role evidence.",2,False,1,0,15500.000000,0.000000,1,0,0,False
100000000945428100,peripheral,0.200000,0,0.370431,"Observed 1 payers, 0 recipients, 89,629 KZT in; insufficient role evidence.",1,False,1,0,89629.000000,0.000000,1,0,1,False
100000000954884100,peripheral,0.200000,38,0.253319,"Observed 1 payers, 0 recipients, 34,000 KZT in; insufficient role evidence.",3,False,1,0,34000.000000,0.000000,1,0,0,False
100000000955444100,peripheral,0.200000,23,0.258524,"Observed 1 payers, 0 recipients, 6,910 KZT in; insufficient role evidence.",2,False,1,0,6910.000000,0.000000,1,0,0,False
100000000955529100,peripheral,0.200000,2,0.370602,"Observed 1 payers, 1 recipients, 27,000 KZT in; insufficient role evidence.",3,False,1,1,27000.000000,63500.000000,1,1,0,False
100000000957746100,peripheral,0.100000,28,0.120305,"Depth 4 boundary: 5,300 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,5300.000000,0.000000,1,0,0,True
100000000961900100,peripheral,0.200000,0,0.371356,"Observed 2 payers, 0 recipients, 36,000 KZT in; insufficient role evidence.",1,False,2,0,36000.000000,0.000000,3,0,1,False
100000000967918100,peripheral,0.200000,0,0.278313,"Observed 1 payers, 0 recipients, 21,200 KZT in; insufficient role evidence.",2,False,1,0,21200.000000,0.000000,3,0,0,False
100000000968253100,peripheral,0.200000,22,0.338872,"Observed 1 payers, 0 recipients, 15,000 KZT in; insufficient role evidence.",1,False,1,0,15000.000000,0.000000,1,0,1,False
100000000971908100,peripheral,0.200000,41,0.370307,"Observed 1 payers, 0 recipients, 89,000 KZT in; insufficient role evidence.",2,False,1,0,89000.000000,0.000000,1,0,0,False
100000000976943100,transit,0.550000,11,0.383320,"Observed 70,000 KZT in, 84,000 KZT out, ratio 1.20; transit hypothesis, timing untested.",3,False,1,1,70000.000000,84000.000000,1,3,0,False
100000000978041100,peripheral,0.200000,22,0.358048,"Observed 1 payers, 0 recipients, 44,445 KZT in; insufficient role evidence.",1,False,1,0,44445.000000,0.000000,1,0,1,False
100000000979567100,peripheral,0.200000,22,0.265048,"Observed 1 payers, 0 recipients, 10,000 KZT in; insufficient role evidence.",2,False,1,0,10000.000000,0.000000,1,0,0,False
100000000979923100,peripheral,0.200000,11,0.371989,"Observed 1 payers, 0 recipients, 97,900 KZT in; insufficient role evidence.",1,False,1,0,97900.000000,0.000000,1,0,1,False
100000000981693100,peripheral,0.100000,0,0.152333,"Depth 4 boundary: 16,500 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,16500.000000,0.000000,1,0,0,True
100000000993112100,terminal,0.519101,42,0.342250,"Observed 141,000 KZT from 1 payers, 0 qualifying outflows; possible terminal, external flows unknown.",2,False,1,0,141000.000000,0.000000,1,0,0,False
100000000998559100,terminal,0.515051,2,0.502041,"Observed 100,000 KZT from 1 payers, 0 qualifying outflows; possible terminal, external flows unknown.",1,False,1,0,100000.000000,0.000000,1,0,1,False
100000001009583100,terminal,0.534675,10,0.363494,"Observed 393,740 KZT from 1 payers, 0 qualifying outflows; possible terminal, external flows unknown.",3,False,1,0,393740.000000,0.000000,1,0,0,False
100000001046057100,peripheral,0.200000,4,0.302497,"Observed 1 payers, 0 recipients, 83,420 KZT in; insufficient role evidence.",3,False,1,0,83420.000000,0.000000,1,0,0,False
100000001046626100,terminal,0.519897,10,0.343501,"Observed 150,000 KZT from 1 payers, 0 qualifying outflows; possible terminal, external flows unknown.",3,False,1,0,150000.000000,0.000000,1,0,0,False
100000001049200100,peripheral,0.200000,43,0.412945,"Observed 2 payers, 4 recipients, 76,624 KZT in; insufficient role evidence.",1,False,2,4,76624.000000,36000.000000,2,5,1,False
100000001052789100,peripheral,0.200000,43,0.299645,"Observed 1 payers, 0 recipients, 70,975 KZT in; insufficient role evidence.",3,False,1,0,70975.000000,0.000000,1,0,0,False
100000001052945100,peripheral,0.200000,44,0.350990,"Observed 1 payers, 3 recipients, 56,520 KZT in; insufficient role evidence.",3,False,1,3,56520.000000,1595700.000000,1,6,0,False
100000001053894100,peripheral,0.100000,30,0.183151,"Depth 4 boundary: 2,000,000 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,2000000.000000,0.000000,7,0,0,True
100000001056414100,terminal,0.527203,24,0.353981,"Observed 250,000 KZT from 1 payers, 0 qualifying outflows; possible terminal, external flows unknown.",3,False,1,0,250000.000000,0.000000,1,0,0,False
100000001063678100,peripheral,0.200000,29,0.293332,"Observed 1 payers, 2 recipients, 35,000 KZT in; insufficient role evidence.",3,False,1,2,35000.000000,90000.000000,1,2,0,False
100000001065234100,peripheral,0.100000,45,0.164987,"Depth 4 boundary: 360,000 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,360000.000000,0.000000,1,0,0,True
100000001065481100,peripheral,0.100000,12,0.192007,"Depth 4 boundary: 16,000 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,16000.000000,0.000000,2,0,0,True
100000001066017100,peripheral,0.200000,0,0.357988,"Observed 2 payers, 4 recipients, 136,123 KZT in; insufficient role evidence.",3,False,2,4,136123.000000,82500.000000,3,4,0,False
100000001072022100,consolidator,0.755000,2,0.628993,"Observed 3 payers, 1,684,000 KZT in, 0% onward; consolidation hypothesis.",1,False,3,0,1684000.000000,0.000000,6,0,1,False
100000001073568100,peripheral,0.200000,40,0.328704,"Observed 1 payers, 2 recipients, 707,465 KZT in; insufficient role evidence.",3,False,1,2,707465.000000,219503.000000,4,3,0,False
100000001074553100,peripheral,0.200000,4,0.434188,"Observed 2 payers, 0 recipients, 28,971 KZT in; insufficient role evidence.",1,False,2,0,28971.000000,0.000000,2,0,2,False
100000001083990100,peripheral,0.200000,7,0.293425,"Observed 1 payers, 0 recipients, 49,900 KZT in; insufficient role evidence.",2,False,1,0,49900.000000,0.000000,2,0,0,False
100000001089055100,peripheral,0.100000,28,0.129808,"Depth 4 boundary: 13,000 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,13000.000000,0.000000,1,0,0,True
